date,asset,direction,entry,stop,target,exit,size,pnl_gbp,r_multiple,outcome,bars_held,risk_reward,confidence,zone_type,rationale
2024-04-23 08:35,Gold,short,2305.065,2305.2162,2303.915,2303.915,330.641,380.24,7.6,win,1,7.6,2,CISD+zone,Bearish CISD at 2024-04-23 08:35:00. Zone: CISD+zone. Asia purge: none. RR: 7.6.
2024-04-25 12:15,Gold,short,2326.348,2326.2431,2325.108,2326.2431,989.4691,103.8,1.0,loss,1,11.82,5,CISD+BKR,Bearish CISD at 2024-04-25 12:15:00. Zone: CISD+BKR. Asia purge: bear. RR: 11.8.
2024-04-26 13:40,Gold,short,2339.975,2340.8066,2326.165,2340.8066,63.0348,-52.42,-1.0,loss,3,16.61,1,CISD,Bearish CISD at 2024-04-26 13:40:00. Zone: CISD. Asia purge: bear. RR: 16.6.
2024-05-01 07:45,Gold,short,2284.235,2284.4119,2283.365,2284.4119,294.8332,-52.16,-1.0,loss,1,4.92,2,CISD+zone,Bearish CISD at 2024-05-01 07:45:00. Zone: CISD+zone. Asia purge: none. RR: 4.9.
2024-05-02 08:20,Gold,short,2307.915,2307.9396,2281.515,2307.9396,2113.3283,-51.9,-1.0,loss,115,1075.04,2,CISD+zone,Bearish CISD at 2024-05-02 08:20:00. Zone: CISD+zone. Asia purge: bull. RR: 1075.0.
2024-05-03 13:35,Gold,short,2285.525,2284.343,2277.165,2284.343,43.6852,51.64,1.0,loss,1,7.07,2,CISD+zone,Bearish CISD at 2024-05-03 13:35:00. Zone: CISD+zone. Asia purge: bull. RR: 7.1.
2024-05-06 14:35,Gold,short,2322.855,2323.6262,2318.565,2323.6262,67.2882,-51.9,-1.0,loss,1,5.56,1,CISD,Bearish CISD at 2024-05-06 14:35:00. Zone: CISD. Asia purge: bear. RR: 5.6.
2024-05-09 07:35,Gold,short,2310.655,2311.5757,2307.738,2307.738,56.0844,163.6,3.17,win,2,3.17,1,CISD,Bearish CISD at 2024-05-09 07:35:00. Zone: CISD. Asia purge: none. RR: 3.2.
2024-05-09 09:30,Gold,short,2308.998,2309.3786,2307.738,2307.738,137.8232,173.66,3.31,win,3,3.31,1,CISD,Bearish CISD at 2024-05-09 09:30:00. Zone: CISD. Asia purge: none. RR: 3.3.
2024-05-13 13:40,Gold,short,2344.095,2344.6782,2339.888,2344.6782,91.4314,-53.32,-1.0,loss,4,7.21,1,CISD,Bearish CISD at 2024-05-13 13:40:00. Zone: CISD. Asia purge: bull. RR: 7.2.
2024-05-16 12:40,Gold,short,2382.635,2382.3154,2381.375,2381.375,166.0118,209.17,3.94,win,1,3.94,2,CISD+zone,Bearish CISD at 2024-05-16 12:40:00. Zone: CISD+zone. Asia purge: bull. RR: 3.9.
2024-05-23 14:25,Gold,short,2350.355,2351.9416,2346.565,2346.565,34.1001,129.24,2.39,win,1,2.39,1,CISD,Bearish CISD at 2024-05-23 14:25:00. Zone: CISD. Asia purge: bull. RR: 2.4.
2024-05-30 12:00,Gold,short,2335.845,2335.5803,2334.438,2335.5803,206.8537,54.75,1.0,loss,1,5.32,2,CISD+zone,Bearish CISD at 2024-05-30 12:00:00. Zone: CISD+zone. Asia purge: none. RR: 5.3.
2024-05-30 14:50,Gold,short,2343.405,2344.8579,2339.845,2344.8579,37.8708,-55.02,-1.0,loss,2,2.45,1,CISD,Bearish CISD at 2024-05-30 14:50:00. Zone: CISD. Asia purge: bear. RR: 2.5.
2024-05-31 14:00,Gold,short,2348.565,2348.3746,2344.515,2344.515,574.9861,2328.69,21.27,win,1,21.27,4,CISD+IFVG,Bearish CISD at 2024-05-31 14:00:00. Zone: CISD+IFVG. Asia purge: bear. RR: 21.3.
