date,asset,direction,entry,stop,target,exit,size,pnl_gbp,r_multiple,outcome,bars_held,risk_reward,confidence,zone_type,rationale
2010-08-29 20:00,Corn,long,425.5,402.7143,471.0714,471.0714,8.7774,400.0,2.0,win,9,2.0,2,fvg,Long entry at 425.50. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 402.71 (at structural swing extreme). Profit target 471.07 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2011-01-12 19:00,Corn,long,642.5,611.25,705.0,705.0,6.656,416.0,2.0,win,20,2.0,2,fvg,Long entry at 642.50. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 611.25 (at structural swing extreme). Profit target 705.00 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2011-02-16 19:00,Corn,long,712.75,682.0,774.25,682.0,7.0348,-216.32,-1.0,loss,2,2.0,2,ob,Long entry at 712.75. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 682.00 (at structural swing extreme). Profit target 774.25 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2011-06-08 20:00,Corn,long,785.5,742.2857,871.9286,742.2857,2.4528,-106.0,-1.0,loss,4,2.0,2,fvg,Long entry at 785.50. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 742.29 (at structural swing extreme). Profit target 871.93 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2011-08-25 20:00,Corn,long,752.5,719.75,818.0,719.75,1.6021,-52.47,-1.0,loss,9,2.0,2,fvg,Long entry at 752.50. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 719.75 (at structural swing extreme). Profit target 818.00 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2014-02-18 19:00,Corn,long,453.75,441.75,477.75,477.75,4.3505,104.41,2.0,win,10,2.0,2,fvg,Long entry at 453.75. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 441.75 (at structural swing extreme). Profit target 477.75 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2014-12-10 19:00,Corn,long,390.0,373.1429,423.7143,373.1429,12.5118,-210.91,-1.0,loss,31,2.0,2,fvg,Long entry at 390.00. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 373.14 (at structural swing extreme). Profit target 423.71 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2015-03-24 20:00,Corn,long,395.0,379.6786,425.6429,379.6786,6.7453,-103.35,-1.0,loss,4,2.0,2,ob,Long entry at 395.00. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 379.68 (at structural swing extreme). Profit target 425.64 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2015-06-24 20:00,Corn,long,376.5,361.6786,406.1429,406.1429,3.4515,102.31,2.0,win,3,2.0,2,fvg,Long entry at 376.50. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 361.68 (at structural swing extreme). Profit target 406.14 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2016-04-14 20:00,Corn,long,378.5,364.3571,406.7857,406.7857,14.6133,413.35,2.0,win,29,2.0,2,fvg,Long entry at 378.50. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 364.36 (at structural swing extreme). Profit target 406.79 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2016-10-02 20:00,Corn,long,346.0,331.0,376.0,331.0,14.3294,-214.94,-1.0,loss,40,2.0,2,fvg,Long entry at 346.00. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 331.00 (at structural swing extreme). Profit target 376.00 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
