date,asset,direction,entry,stop,target,exit,size,pnl_gbp,r_multiple,outcome,bars_held,risk_reward,confidence,zone_type,rationale
2024-04-29 14:25,Gold,short,2339.165,2342.5098,2328.195,2342.5098,14.9488,-50.0,-1.0,loss,21,3.28,3,fvg,Short entry at 2339.16. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 2342.51 (at structural swing extreme). Profit target 2328.20 (prior swing high/low). Risk/reward: 3.3:1. Position sized to risk 2% of account equity (£200).
2024-05-01 09:50,Gold,short,2292.195,2293.7262,2286.978,2293.7262,32.4913,-49.75,-1.0,loss,19,3.41,3,fvg,Short entry at 2292.20. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 2293.73 (at structural swing extreme). Profit target 2286.98 (prior swing high/low). Risk/reward: 3.4:1. Position sized to risk 2% of account equity (£200).
2024-05-02 17:55,Gold,short,2308.065,2310.1162,2301.698,2301.698,24.1322,153.65,3.1,win,21,3.1,3,fvg,Short entry at 2308.07. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 2310.12 (at structural swing extreme). Profit target 2301.70 (prior swing high/low). Risk/reward: 3.1:1. Position sized to risk 2% of account equity (£200).
2024-05-13 11:50,Gold,short,2346.515,2347.9544,2341.505,2347.9544,34.925,-50.27,-1.0,loss,5,3.48,3,fvg,Short entry at 2346.51. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 2347.95 (at structural swing extreme). Profit target 2341.51 (prior swing high/low). Risk/reward: 3.5:1. Position sized to risk 2% of account equity (£200).
2024-05-21 19:20,Gold,short,2424.808,2426.7025,2418.935,2418.935,26.4018,155.06,3.1,win,89,3.1,3,fvg,Short entry at 2424.81. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 2426.70 (at structural swing extreme). Profit target 2418.93 (prior swing high/low). Risk/reward: 3.1:1. Position sized to risk 2% of account equity (£200).
2024-05-23 11:05,Gold,short,2368.608,2371.66,2358.495,2358.495,16.6427,168.31,3.31,win,32,3.31,3,fvg,Short entry at 2368.61. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 2371.66 (at structural swing extreme). Profit target 2358.49 (prior swing high/low). Risk/reward: 3.3:1. Position sized to risk 2% of account equity (£200).
2024-05-27 08:40,Gold,short,2344.505,2345.9033,2340.195,2345.9033,36.9264,-51.63,-1.0,loss,43,3.08,3,fvg,Short entry at 2344.51. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 2345.90 (at structural swing extreme). Profit target 2340.20 (prior swing high/low). Risk/reward: 3.1:1. Position sized to risk 2% of account equity (£200).
2024-06-05 11:20,Gold,short,2335.405,2337.055,2329.348,2337.055,31.1375,-51.38,-1.0,loss,15,3.67,3,fvg,Short entry at 2335.41. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 2337.05 (at structural swing extreme). Profit target 2329.35 (prior swing high/low). Risk/reward: 3.7:1. Position sized to risk 2% of account equity (£200).
2024-06-06 15:10,Gold,short,2370.665,2372.3104,2365.285,2372.3104,31.0678,-51.12,-1.0,loss,2,3.27,3,fvg,Short entry at 2370.66. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 2372.31 (at structural swing extreme). Profit target 2365.28 (prior swing high/low). Risk/reward: 3.3:1. Position sized to risk 2% of account equity (£200).
2024-06-17 09:15,Gold,short,2322.435,2323.598,2318.308,2318.308,43.7354,180.5,3.55,win,27,3.55,3,fvg,Short entry at 2322.43. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 2323.60 (at structural swing extreme). Profit target 2318.31 (prior swing high/low). Risk/reward: 3.5:1. Position sized to risk 2% of account equity (£200).
