date,asset,direction,entry,stop,target,exit,size,pnl_gbp,r_multiple,outcome,bars_held,risk_reward,confidence,zone_type,rationale
2010-05-10 20:00,Gold,long,1219.9,1185.0714,1289.5572,1185.0714,5.7424,-200.0,-1.0,loss,7,2.0,1,fvg,Long entry at 1219.90. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it Stop loss placed at 1185.07 (at structural swing extreme). Profit target 1289.56 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2010-11-04 20:00,Gold,long,1397.3,1352.1572,1487.5858,1352.1572,2.1709,-98.0,-1.0,loss,7,2.0,2,fvg,Long entry at 1397.30. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 1352.16 (at structural swing extreme). Profit target 1487.59 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2011-04-04 20:00,Gold,long,1451.8,1425.1286,1505.143,1505.143,1.8188,97.02,2.0,win,11,2.0,2,fvg,Long entry at 1451.80. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 1425.13 (at structural swing extreme). Profit target 1505.14 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2011-08-01 20:00,Gold,long,1641.9,1605.6715,1714.3571,1714.3571,5.4096,391.96,2.0,win,4,2.0,2,fvg,Long entry at 1641.90. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 1605.67 (at structural swing extreme). Profit target 1714.36 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2011-10-24 20:00,Gold,long,1699.6,1635.4571,1881.3,1635.4571,3.1776,-203.82,-1.0,loss,34,2.83,2,fvg,Long entry at 1699.60. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 1635.46 (at structural swing extreme). Profit target 1881.30 (prior swing high/low). Risk/reward: 2.8:1. Position sized to risk 2% of account equity (£200).
2012-02-21 19:00,Gold,long,1770.0,1720.7143,1868.5714,1720.7143,2.0264,-99.87,-1.0,loss,5,2.0,2,fvg,Long entry at 1770.00. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 1720.71 (at structural swing extreme). Profit target 1868.57 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2012-08-20 20:00,Gold,long,1639.9,1609.4,1700.9,1700.9,1.6209,98.87,2.0,win,11,2.0,2,fvg,Long entry at 1639.90. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 1609.40 (at structural swing extreme). Profit target 1700.90 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2013-08-14 20:00,Gold,long,1361.6,1315.0428,1454.7144,1315.0428,4.2898,-199.72,-1.0,loss,20,2.0,2,fvg,Long entry at 1361.60. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 1315.04 (at structural swing extreme). Profit target 1454.71 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2014-02-09 19:00,Gold,long,1274.8,1242.5144,1339.3714,1339.3714,3.0312,195.73,2.0,win,10,2.0,2,fvg,Long entry at 1274.80. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 1242.51 (at structural swing extreme). Profit target 1339.37 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2015-01-14 19:00,Gold,long,1264.7,1227.0285,1340.0428,1227.0285,5.2996,-199.64,-1.0,loss,18,2.0,2,fvg,Long entry at 1264.70. Confluence factors:   • daily bar low touched demand zone (FVG/OB) and closed above it   • bullish reversal bar — demand zone held intraday Stop loss placed at 1227.03 (at structural swing extreme). Profit target 1340.04 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
