date,asset,direction,entry,stop,target,exit,size,pnl_gbp,r_multiple,outcome,bars_held,risk_reward,confidence,zone_type,rationale
2026-01-06 14:25,Oil,long,58.66,58.5571,58.87,58.5571,1944.4444,-200.0,-1.0,loss,4,2.04,2,fvg,Long entry at 58.66. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 58.56 (at structural swing extreme). Profit target 58.87 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2026-01-09 09:35,Oil,long,57.68,57.5246,58.0,58.0,630.8046,201.86,2.06,win,5,2.06,3,fvg,Long entry at 57.68. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 57.52 (at structural swing extreme). Profit target 58.00 (prior swing high/low). Risk/reward: 2.1:1. Position sized to risk 2% of account equity (£200).
2026-01-27 14:25,Oil,long,61.17,60.9625,61.71,60.9625,964.0345,-200.04,-1.0,loss,1,2.6,2,fvg,Long entry at 61.17. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 60.96 (at structural swing extreme). Profit target 61.71 (prior swing high/low). Risk/reward: 2.6:1. Position sized to risk 2% of account equity (£200).
2026-02-06 11:05,Oil,long,63.36,63.2189,63.65,63.2189,694.8126,-98.02,-1.0,loss,4,2.06,4,fvg,Long entry at 63.36. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • false breakout pattern confirmed — sell-side liquidity swept then reversed   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 63.22 (at structural swing extreme). Profit target 63.65 (prior swing high/low). Risk/reward: 2.1:1. Position sized to risk 2% of account equity (£200).
2026-02-19 09:20,Oil,long,65.97,65.8871,66.28,65.8871,585.5743,-48.52,-1.0,loss,1,3.74,2,fvg,Long entry at 65.97. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 65.89 (at structural swing extreme). Profit target 66.28 (prior swing high/low). Risk/reward: 3.7:1. Position sized to risk 2% of account equity (£200).
2026-02-24 14:05,Oil,long,66.76,66.5836,67.15,66.5836,273.6315,-48.28,-1.0,loss,5,2.21,2,fvg,Long entry at 66.76. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 66.58 (at structural swing extreme). Profit target 67.15 (prior swing high/low). Risk/reward: 2.2:1. Position sized to risk 2% of account equity (£200).
2026-03-04 13:50,Oil,long,73.54,73.2625,74.23,74.23,173.0992,119.44,2.49,win,2,2.49,3,fvg,Long entry at 73.54. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 73.26 (at structural swing extreme). Profit target 74.23 (prior swing high/low). Risk/reward: 2.5:1. Position sized to risk 2% of account equity (£200).
2026-03-05 09:20,Oil,long,75.47,75.1579,76.72,76.72,623.2047,779.01,4.0,win,20,4.0,3,fvg,Long entry at 75.47. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 75.16 (at structural swing extreme). Profit target 76.72 (prior swing high/low). Risk/reward: 4.0:1. Position sized to risk 2% of account equity (£200).
2026-03-16 10:50,Oil,long,97.15,96.5514,98.4,96.5514,351.0175,-210.11,-1.0,loss,16,2.09,3,fvg,Long entry at 97.15. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 96.55 (at structural swing extreme). Profit target 98.40 (prior swing high/low). Risk/reward: 2.1:1. Position sized to risk 2% of account equity (£200).
2026-03-23 13:45,Oil,long,88.8,88.0796,91.14,88.0796,142.92,-102.95,-1.0,loss,3,3.25,3,fvg,Long entry at 88.80. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 88.08 (at structural swing extreme). Profit target 91.14 (prior swing high/low). Risk/reward: 3.2:1. Position sized to risk 2% of account equity (£200).
