date,asset,direction,entry,stop,target,exit,size,pnl_gbp,r_multiple,outcome,bars_held,risk_reward,confidence,zone_type,rationale
2026-01-02 14:55,Cocoa,long,5951.0,5931.4286,5991.0,5931.4286,10.219,-200.0,-1.0,loss,2,2.04,4,fvg+ob,Long entry at 5951.00. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) AND demand zone (OB) — highest confluence   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 5931.43 (at structural swing extreme). Profit target 5991.00 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2026-01-02 15:20,Cocoa,long,5869.0,5821.5357,5991.0,5991.0,2.0647,251.89,2.57,win,38,2.57,3,fvg,Long entry at 5869.00. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 5821.54 (at structural swing extreme). Profit target 5991.00 (prior swing high/low). Risk/reward: 2.6:1. Position sized to risk 2% of account equity (£200).
2026-01-05 11:20,Cocoa,long,5912.0,5890.6429,5966.0,5890.6429,9.4131,-201.04,-1.0,loss,1,2.53,4,fvg+ob,Long entry at 5912.00. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) AND demand zone (OB) — highest confluence   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 5890.64 (at structural swing extreme). Profit target 5966.00 (prior swing high/low). Risk/reward: 2.5:1. Position sized to risk 2% of account equity (£200).
2026-01-07 10:00,Cocoa,long,6005.0,5994.0714,6045.0,5994.0714,9.0139,-98.51,-1.0,loss,4,3.66,3,fvg+ob,Long entry at 6005.00. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) AND demand zone (OB) — highest confluence Stop loss placed at 5994.07 (at structural swing extreme). Profit target 6045.00 (prior swing high/low). Risk/reward: 3.7:1. Position sized to risk 2% of account equity (£200).
2026-01-16 15:05,Cocoa,long,5127.0,5113.1786,5170.0,5113.1786,3.528,-48.76,-1.0,loss,1,3.11,2,fvg,Long entry at 5127.00. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 5113.18 (at structural swing extreme). Profit target 5170.00 (prior swing high/low). Risk/reward: 3.1:1. Position sized to risk 2% of account equity (£200).
2026-01-21 10:10,Cocoa,long,4381.0,4330.3214,4587.0,4587.0,0.9574,197.22,4.06,win,10,4.06,3,fvg,Long entry at 4381.00. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions Stop loss placed at 4330.32 (at structural swing extreme). Profit target 4587.00 (prior swing high/low). Risk/reward: 4.1:1. Position sized to risk 2% of account equity (£200).
2026-01-21 14:40,Cocoa,long,4367.0,4344.8929,4415.0,4344.8929,8.9571,-198.02,-1.0,loss,4,2.17,3,fvg,Long entry at 4367.00. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 4344.89 (at structural swing extreme). Profit target 4415.00 (prior swing high/low). Risk/reward: 2.2:1. Position sized to risk 2% of account equity (£200).
2026-01-23 10:05,Cocoa,long,4387.0,4376.3929,4422.0,4376.3929,9.1474,-97.03,-1.0,loss,1,3.3,3,fvg,Long entry at 4387.00. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 4376.39 (at structural swing extreme). Profit target 4422.00 (prior swing high/low). Risk/reward: 3.3:1. Position sized to risk 2% of account equity (£200).
2026-01-23 12:00,Cocoa,long,4128.0,4086.4643,4226.0,4086.4643,1.1563,-48.03,-1.0,loss,11,2.36,2,fvg,Long entry at 4128.00. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 4086.46 (at structural swing extreme). Profit target 4226.00 (prior swing high/low). Risk/reward: 2.4:1. Position sized to risk 2% of account equity (£200).
2026-01-26 10:30,Cocoa,long,4239.0,4212.5357,4325.0,4325.0,1.8058,155.3,3.25,win,15,3.25,2,fvg,Long entry at 4239.00. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 4212.54 (at structural swing extreme). Profit target 4325.00 (prior swing high/low). Risk/reward: 3.2:1. Position sized to risk 2% of account equity (£200).
