date,asset,direction,entry,stop,target,exit,size,pnl_gbp,r_multiple,outcome,bars_held,risk_reward,confidence,zone_type,rationale
2026-01-08 14:30,Nasdaq,long,621.07,620.3345,622.56,620.3345,271.9371,-200.0,-1.0,loss,1,2.03,3,fvg,Long entry at 621.07. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 620.33 (at structural swing extreme). Profit target 622.56 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2026-01-08 14:55,Nasdaq,long,618.54,617.9107,622.56,617.9107,155.7171,-98.0,-1.0,loss,1,6.39,4,fvg,Long entry at 618.54. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • false breakout pattern confirmed — sell-side liquidity swept then reversed   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 617.91 (at structural swing extreme). Profit target 622.56 (prior swing high/low). Risk/reward: 6.4:1. Position sized to risk 2% of account equity (£200).
2026-01-13 15:45,Nasdaq,long,623.94,623.1045,625.62,625.62,58.061,97.54,2.01,win,1,2.01,3,fvg,Long entry at 623.94. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 623.10 (at structural swing extreme). Profit target 625.62 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2026-01-14 15:30,Nasdaq,long,618.71,617.7821,621.08,617.7821,211.2287,-195.99,-1.0,loss,2,2.55,3,fvg,Long entry at 618.71. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions Stop loss placed at 617.78 (at structural swing extreme). Profit target 621.08 (prior swing high/low). Risk/reward: 2.6:1. Position sized to risk 2% of account equity (£200).
2026-01-29 14:55,Nasdaq,long,626.08,625.0918,631.81,625.0918,97.1865,-96.04,-1.0,loss,1,5.8,3,fvg,Long entry at 626.08. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 625.09 (at structural swing extreme). Profit target 631.81 (prior swing high/low). Risk/reward: 5.8:1. Position sized to risk 2% of account equity (£200).
2026-02-11 15:20,Nasdaq,long,607.955,606.9764,611.01,611.01,48.5789,148.41,3.12,win,5,3.12,4,fvg+ob,Long entry at 607.96. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) AND demand zone (OB) — highest confluence   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 606.98 (at structural swing extreme). Profit target 611.01 (prior swing high/low). Risk/reward: 3.1:1. Position sized to risk 2% of account equity (£200).
2026-02-23 15:05,Nasdaq,long,603.66,601.9901,607.32,601.9901,115.6438,-193.12,-1.0,loss,9,2.19,3,fvg,Long entry at 603.66. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 601.99 (at structural swing extreme). Profit target 607.32 (prior swing high/low). Risk/reward: 2.2:1. Position sized to risk 2% of account equity (£200).
2026-02-26 15:15,Nasdaq,long,606.34,605.1988,611.0,605.1988,82.9182,-94.63,-1.0,loss,1,4.08,3,fvg,Long entry at 606.34. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 605.20 (at structural swing extreme). Profit target 611.00 (prior swing high/low). Risk/reward: 4.1:1. Position sized to risk 2% of account equity (£200).
2026-03-12 13:50,Nasdaq,long,600.21,599.5287,601.95,599.5287,68.7566,-46.84,-1.0,loss,1,2.55,3,fvg,Long entry at 600.21. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions   • CCI < -100 confirms deep discount (commodity-specific) Stop loss placed at 599.53 (at structural swing extreme). Profit target 601.95 (prior swing high/low). Risk/reward: 2.6:1. Position sized to risk 2% of account equity (£200).
2026-03-19 14:00,Nasdaq,long,591.02,589.4561,594.56,589.4561,29.8007,-46.61,-1.0,loss,5,2.26,3,fvg,Long entry at 591.02. Confluence factors:   • price at Fibonacci/discount zone (<50% of range)   • price inside open gap zone (FVG) — gap-fill entry   • RSI < 40 confirms oversold/discount conditions Stop loss placed at 589.46 (at structural swing extreme). Profit target 594.56 (prior swing high/low). Risk/reward: 2.3:1. Position sized to risk 2% of account equity (£200).
