date,asset,direction,entry,stop,target,exit,size,pnl_gbp,r_multiple,outcome,bars_held,risk_reward,confidence,zone_type,rationale
2025-04-07 11:55,Gold,short,3181.0,3220.7321,2925.4,3220.7321,5.0337,-200.0,-1.0,loss,343,6.43,2,fvg,Short entry at 3181.00. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 3220.73 (at structural swing extreme). Profit target 2925.40 (prior swing high/low). Risk/reward: 6.4:1. Position sized to risk 2% of account equity (£200).
2025-04-21 11:40,Gold,short,3563.4,3565.4714,3496.0,3565.4714,47.3103,-98.0,-1.0,loss,2,32.54,2,fvg,Short entry at 3563.40. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 3565.47 (at structural swing extreme). Profit target 3496.00 (prior swing high/low). Risk/reward: 32.5:1. Position sized to risk 2% of account equity (£200).
2025-08-06 14:15,Gold,short,3499.3,3509.1107,3431.2,3509.1107,4.9446,-48.51,-1.0,loss,54,6.94,2,fvg,Short entry at 3499.30. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 3509.11 (at structural swing extreme). Profit target 3431.20 (prior swing high/low). Risk/reward: 6.9:1. Position sized to risk 2% of account equity (£200).
2025-08-12 15:05,Gold,short,3465.9,3471.9857,3452.8714,3471.9857,7.9313,-48.27,-1.0,loss,3,2.14,2,fvg,Short entry at 3465.90. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 3471.99 (at structural swing extreme). Profit target 3452.87 (prior swing high/low). Risk/reward: 2.1:1. Position sized to risk 2% of account equity (£200).
2025-08-13 14:35,Gold,short,3492.9,3493.8857,3489.5,3489.5,48.7221,165.66,3.45,win,2,3.45,3,fvg,Short entry at 3492.90. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions Stop loss placed at 3493.89 (at structural swing extreme). Profit target 3489.50 (prior swing high/low). Risk/reward: 3.4:1. Position sized to risk 2% of account equity (£200).
2025-08-20 13:30,Gold,short,3460.3,3461.7286,3442.1,3461.7286,136.7923,-195.42,-1.0,loss,5,12.74,3,fvg,Short entry at 3460.30. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions Stop loss placed at 3461.73 (at structural swing extreme). Profit target 3442.10 (prior swing high/low). Risk/reward: 12.7:1. Position sized to risk 2% of account equity (£200).
2025-08-21 13:30,Gold,short,3461.4,3462.1321,3459.8,3459.8,130.7868,209.26,2.19,win,3,2.19,3,fvg,Short entry at 3461.40. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions Stop loss placed at 3462.13 (at structural swing extreme). Profit target 3459.80 (prior swing high/low). Risk/reward: 2.2:1. Position sized to risk 2% of account equity (£200).
2025-08-21 14:10,Gold,short,3462.5,3463.2143,3459.8,3463.2143,273.9721,-195.69,-1.0,loss,4,3.78,2,fvg,Short entry at 3462.50. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 3463.21 (at structural swing extreme). Profit target 3459.80 (prior swing high/low). Risk/reward: 3.8:1. Position sized to risk 2% of account equity (£200).
2025-08-22 13:35,Gold,short,3449.4,3450.8429,3445.7,3450.8429,66.4586,-95.89,-1.0,loss,3,2.56,3,fvg,Short entry at 3449.40. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 3450.84 (at structural swing extreme). Profit target 3445.70 (prior swing high/low). Risk/reward: 2.6:1. Position sized to risk 2% of account equity (£200).
2025-08-25 13:50,Gold,short,3489.9,3491.5893,3486.3,3491.5893,28.0981,-47.47,-1.0,loss,2,2.13,3,fvg,Short entry at 3489.90. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 3491.59 (at structural swing extreme). Profit target 3486.30 (prior swing high/low). Risk/reward: 2.1:1. Position sized to risk 2% of account equity (£200).
